Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
4822,Female,No,2,Graduate,Yes,48898,0,176,120.0,0.0,Urban,N
2364,Female,Yes,1,Not Graduate,Yes,29161,1061,172,240.0,0.0,Rural,N
3729,Female,No,2,Graduate,Yes,16279,2679,162,180.0,0.0,Semiurban,Y
624,Male,Yes,3+,Grad,No,46572,4801,-50,240.0,0.0,Urban,N
1074,Female,No,3+,Not Graduate,Yes,26869,14407,114,360.0,0.0,Semiurban,N
3445,Male,No,2,Graduate,No,15547,0,122,360.0,0.0,Rural,Y
1546,Male,No,2,Graduate,No,23663,4944,199,240.0,1.0,Rural,Y
837,Male,Yes,2,Graduate,Yes,9791,0,139,180.0,0.0,Urban,Y
746,Female,Yes,1,Graduate,No,25861,4583,119,120.0,0.0,Rural,N
349,Female,No,1,Graduate,Yes,42224,1109,82,180.0,0.0,Urban,Y
1988,Male,Yes,0,Graduate,No,18910,7583,84,240.0,0.0,Rural,N
4341,Female,N,0,Not Graduate,Yes,23820,0,126,180.0,1.0,Rural,Y
4132,Male,Yes,3+,Not Graduate,Yes,26417,4583,117,240.0,1.0,Rural,Y
1852,Female,No,1,Graduate,Yes,15993,0,174,120.0,1.0,Urban,Y
780,Male,No,3+,Graduate,Yes,27675,0,111,120.0,1.0,Rural,Y
5,Male,No,3+,Not Graduate,Yes,21531,2532,221,240.0,0.0,Rural,N
4235,Female,Yes,0,Not Graduate,Yes,16758,774,160,360.0,1.0,Rural,Y
3740,Female,No,2,Not Graduate,No,50831,0,181,120.0,0.0,Urban,N
4952,Female,Yes,0,Graduate,No,20592,2135,166,120.0,-1.0,Semiurban,Y
3882,Male,No,2,Graduate,No,18457,1775,29,120.0,1.0,Semiurban,Y
3749,Female,No,1,Not Graduate,Yes,30012,13508,186,360.0,1.0,Urban,N
4832,Male,No,2,Graduate,No,23196,2139,53,180.0,1.0,Rural,N
718,Female,Yes,0,Not Graduate,Yes,21887,0,104,240.0,1.0,Rural,N
315,Female,Yes,four,Not Graduate,No,9769,1260,231,180.0,0.0,Semiurban,Y
1841,Female,No,0,Not Graduate,,30731,9239,126,240.0,1.0,Urban,Y
4292,Male,No,2,Not Graduate,Yes,32381,0,189,360.0,0.0,Urban,N
4190,Male,No,3+,Graduate,Yes,8991,0,199,360.0,1.0,Rural,Y
4959,Female,Yes,3+,Not Graduate,Yes,26110,0,149,120.0,1.0,Rural,Y
1141,Female,No,2,Graduate,,11437,0,82,120.0,1.0,Rural,Y
2671,Female,No,3+,Not Graduate,Yes,27540,1526,91,240.0,1.0,Urban,Y
4802,Male,,,Not Graduate,No,14910,1835,117,360.0,1.0,Rural,N
1365,Male,Yes,1,Graduate,No,66772,0,123,120.0,1.0,Urban,Y
1565,Female,No,3+,Graduate,No,63551,1559,239,120.0,1.0,Urban,Y
1142,Male,No,2,Not Graduate,Yes,16771,0,55,240.0,0.0,Urban,Y
3232,Male,Y,1,Not Graduate,Yes,39076,10888,145,120.0,1.0,Urban,Y
1095,Female,Yes,0,Not Graduate,No,23914,8833,121,360.0,1.0,Semiurban,Y
1878,Male,No,1,Not Graduate,Yes,16167,0,95,120.0,0.0,Urban,N
2415,Female,Yes,1,Graduate,,42782,1392,260,120.0,0.0,Semiurban,N
1118,Male,Yes,2,Graduate,Yes,21178,0,1500,240.0,1.0,Urban,Y
3076,Female,No,0,Graduate,Yes,24988,5956,143,180.0,1.0,Rural,N
4431,Female,No,2,Graduate,Self,12862,6804,127,360.0,0.0,Rural,Y
3072,Male,Yes,0,Graduate,Self,48658,3192,158,360.0,0.0,Semiurban,N
29,Male,No,1,Not Graduate,Yes,19159,0,186,180.0,1.0,Urban,N
2458,Female,Yes,2,Not Graduate,No,7845,0,83,360.0,0.0,Semiurban,Y
4215,Male,Yes,1,Graduate,No,27655,13034,236,180.0,1.0,Rural,N
609,Female,No,3+,Not Graduate,No,28419,5103,156,240.0,1.0,Rural,N
1562,Female,No,0,Not Graduate,No,35147,0,105,120.0,0.0,Rural,N
3985,Female,Yes,1,Graduate,Yes,7502,3263,71,120.0,0.0,Semiurban,Y
2739,Male,No,0,Graduate,No,24307,1687,158,120.0,1.0,Urban,N
109,Female,No,2,Graduate,Yes,24972,0,89,120.0,1.0,Semiurban,Y
539,Male,No,1,Graduate,Yes,16321,873,57,360.0,1.0,Urban,N
2012,Male,Y,2,Not Graduate,Yes,28401,0,196,180.0,1.0,Urban,Y
3094,Male,Yes,3+,Not Graduate,No,54453,1854,136,360.0,,Urban,N
4598,Male,No,0,Grad,Yes,23081,0,227,180.0,0.0,Semiurban,Y
2919,,No,3+,Graduate,No,26982,0,115,120.0,1.0,Rural,N
3904,Female,No,0,Graduate,No,26271,2725,114,120.0,0.0,Rural,Y
1674,Female,Yes,1,Graduate,No,39623,1825,154,120.0,1.0,Rural,Y
1438,Male,Yes,0,Not Graduate,Yes,41722,0,103,240.0,0.0,Semiurban,Y
3730,Female,No,1,Not Graduate,Yes,20451,2647,153,360.0,0.0,Urban,Y
4542,Female,Yes,0,Not Graduate,No,40736,0,141,120.0,1.0,Urban,N
2120,Male,Yes,2,Grad,No,12509,2717,0,240.0,1.0,Urban,Y
1538,Female,Yes,3+,Not Graduate,Yes,26903,0,197,120.0,1.0,Urban,Y
1045,Female,Yes,0,Graduate,No,18820,10242,48,240.0,1.0,Urban,Y
2974,Female,No,2,Graduate,Yes,31904,0,219,180.0,2.0,Rural,Y
4364,Male,No,0,Not Graduate,Yes,19362,0,165,999.0,0.0,Rural,N
4487,Female,No,2,Graduate,No,18567,945,194,180.0,1.0,Urban,Y
300,Male,,0,Not Graduate,Yes,24380,0,200,180.0,0.0,Urban,Y
2634,Male,Y,0,Not Graduate,No,26600,0,166,180.0,0.0,Urban,N
1043,Female,Yes,3+,Not Graduate,No,20750,4093,8,180.0,1.0,Rural,Y
3645,Female,Yes,1,Not Graduate,No,13428,0,157,120.0,0.0,Semiurban,Y
4580,Female,No,0,Graduate,Yes,16180,0,259,180.0,0.0,Urban,N
2049,Female,Yes,3+,Not Graduate,Yes,12956,0,139,120.0,0.0,Rural,Y
1521,Male,No,1,Not Graduate,No,29463,0,0,,0.0,Semiurban,Y
3354,Female,N,0,Not Graduate,No,33764,1966,218,180.0,1.0,Urban,N
3126,Mle,Yes,0,Not Graduate,Yes,17654,0,229,240.0,0.0,Urban,Y
2335,Male,No,0,Graduate,Yes,13358,0,136,360.0,0.0,Metro,Y
249,Fmale,Yes,3+,Graduate,No,35954,10380,96,180.0,0.0,Urban,N
4514,Female,No,0,Graduate,Yes,17596,0,223,120.0,0.0,Rural,Y
1248,Female,Yes,3+,Not Graduate,Yes,21126,1876,108,180.0,2.0,Semiurban,Y
4220,Male,No,1,Not Graduate,Yes,24253,0,145,240.0,0.0,Rural,Y
3841,Female,No,1,Not Graduate,No,15423,4143,218,240.0,1.0,Semiurban,Y
719,Male,No,0,Graduate,No,24681,1114,197,180.0,1.0,Rural,Y
4931,Female,Yes,3+,Graduate,No,29384,0,168,120.0,0.0,Semiurban,N
34,Male,No,3+,Not Graduate,No,38062,12667,147,180.0,0.0,Rural,Y
4839,Female,Yes,2,Not Graduate,Yes,9005,0,116,240.0,1.0,Urban,Y
2228,Female,No,2,Not Graduate,No,31410,2267,149,120.0,1.0,Rural,N
841,Male,No,3+,Graduate,Yes,17831,0,178,120.0,0.0,Semiurban,Y
1686,Male,No,1,Graduate,Self,46920,2274,148,240.0,0.0,Semiurban,Y
2702,Female,No,2,Graduate,Yes,14220,0,190,360.0,1.0,Urban,N
2698,Male,Yes,2,Not Graduate,No,39740,6517,128,120.0,1.0,Rural,Y
553,Female,No,3+,Not Graduate,Yes,23246,0,151,360.0,1.0,Rural,Y
4483,Male,Yes,2,Graduate,Yes,20955,0,147,180.0,1.0,Urban,N
2098,Female,No,1,Graduate,Yes,15056,1007,135,120.0,0.0,Urban,N
2589,Male,No,2,Graduate,No,27752,1870,262,240.0,0.0,Urban,Y
3464,Female,Yes,1,Not Graduate,No,19114,4919,91,120.0,2.0,semi-urban,Y
2116,Female,Yes,1,Graduate,No,10784,0,80,360.0,0.0,Rural,N
3477,Male,Yes,2,Not Graduate,Yes,10442,5775,0,180.0,,Urban,Y
556,Female,Yes,0,Graduate,No,53054,4897,150,240.0,0.0,Semiurban,Y
345,Male,Yes,1,Graduate,No,10702,0,89,360.0,1.0,Urban,Y
892,Female,No,1,Graduate,No,19408,0,136,240.0,1.0,Semiurban,N
3273,Female,Yes,0,Graduate,No,8154,2671,176,120.0,0.0,Urban,Y
1917,Male,Yes,1,Graduate,No,14515,0,114,360.0,0.0,Urban,N
637,Female,Yes,3+,Not Graduate,No,14241,7880,146,180.0,0.0,Rural,Y
2992,Male,Yes,0,Not Graduate,Yes,31690,0,160,999.0,1.0,Semiurban,Y
3692,Male,Yes,1,Not Graduate,No,11915,0,128,180.0,0.0,Urban,Y
4690,Female,No,3+,Not Graduate,No,45865,0,111,240.0,1.0,Semiurban,Y
4790,Male,No,1,Graduate,Yes,41283,0,-50,360.0,1.0,Semiurban,Y
882,Female,No,1,Not Graduate,Yes,26289,1912,150,120.0,0.0,Rural,Y
2915,Male,Yes,four,Not Graduate,No,14082,5482,201,240.0,0.0,Urban,Y
3847,Female,No,1,Grad,No,24958,0,155,120.0,0.0,Semiurban,N
201,Male,No,2,Not Graduate,Self,9437,0,199,360.0,0.0,Urban,Y
2861,Male,No,1,Graduate,No,23545,0,138,240.0,0.0,Semiurban,N
2246,Male,No,3+,Not Graduate,Yes,16134,13010,102,240.0,1.0,Urban,N
1838,Male,Yes,0,Graduate,No,33470,0,196,120.0,0.0,Rural,Y
2175,Female,Yes,2,Graduate,No,17537,0,145,360.0,0.0,semi-urban,Y
